Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
"City Lore, Inc.",56 East 1st Street,New York,NY,10003,(212) 529-1955 x301,Folk Arts,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
City Parks Foundation,"830 Fifth Avenue, Rm. 27",New York,NY,10065,(212) 360-1399,"Multi-Discipline, Performing",Manhattan Council District #4,Manhattan Community Board #8,Manhattan
City Reliquary Museum & Civic Organization,370 Metropolitan Avenue,New York,NY,11211,(718) 782-4842,Museum,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
"CityArts, Inc.","525 Broadway, Ste. 700",New York,NY,10012,(212) 966-0377,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"CityKids Foundation, Inc.",57 Leonard Street,New York,NY,10013,(212) 925-3320 x15,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Citywide Youth Opera, Inc.",P. O. Box 3647,New York,NY,10163,(646) 296-0344,Music,Manhattan Council District #4,Manhattan Community Board #6,Manhattan
"Civil Aid Services, Inc.",P. O. Box 130287,New York,NY,10013,(212) 966-3253,"Multi-Discipline, Performing",Brooklyn Council District #47,Brooklyn Community Board #11,Manhattan
"Civilians, Inc.",138 S. Oxford Street,Brooklyn,NY,11217,(212) 730-2019,Theater,Manhattan Council District #5,Manhattan Community Board #3,Manhattan
"Clarion Music Society, Inc.",P.O. Box 259,New York,NY,10021,(212) 580-5700,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
Classic Chamber Players,1133 Broadway,New York,NY,10010,(914) 762-8878,Music,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
Classical Domain,218 East 18th Street,New York,NY,10003,(212) 366-6900 x201,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Classical Theatre of Harlem, Inc.","566 West 159th Street, #44",New York,NY,10032,(212) 564-9983,Theater,Manhattan Council District #9,Manhattan Community Board #7,Manhattan
"Clemente Soto Velez Cultural and Educational Center, Inc.","107 Suffolk Street, Room 312",New York,NY,10002,(212) 566-5600,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Cliplight Theatre Company, Inc.","555 West 52nd Street, Apt. 806",New York,NY,10019,(917) 385-9090,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Clive Barnes Foundation Incorporated,"241 West 23rd Street, 4A",New York,NY,10011,(212) 463-8955,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Clockwork Theatre, Inc.",P.O. Box 20162,New York,NY,10014,(631) 793-1946,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Clubbed Thumb, Inc.",195 Chrystie Street,New York,NY,10002,(212) 228-0153,Theater,Manhattan Council District #2,Manhattan Community Board #6,Manhattan
Coalition for Hispanic Family Services,315 Wyckoff Avenue,Brooklyn,NY,11237,(718) 497-6090 x304,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn
"Coalition to Preserve Reggae Music, Inc.",1199 Ocean Avenue,New York,NY,11230,(718) 421-6927,Music,Brooklyn Council District #45,Brooklyn Community Board #14,Brooklyn
Cocolart,"555 West 186th Street, #4C",New York,NY,10033,(646) 225-0333,Visual Arts,Manhattan Council District #10,Manhattan Community Board #12,Manhattan
"CollaborationTown, A Theatre Company, Inc.","529 Fifth Street, #1R",Brooklyn,NY,11215,(646) 369-4592,Theater,Brooklyn Council District #39,Brooklyn Community Board #6,Manhattan
"Collaborative Arts Project 21, Inc.","18 West 18th Street,  6th Floor",New York,NY,10011,(212) 807-0202 x14,Theater,Manhattan Council District #5,Manhattan Community Board #3,Manhattan
"Collaborative Urban Sculpture, Inc.",62 Washington Ave. #1,Brooklyn,NY,11205,(917) 418-3516,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Collapsable Giraffe, Inc.","251 Pacific Street, Apt. 25",Brooklyn,NY,11201,(917) 821-4451,Theater,Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
Collective Unconscious,P.O. Box 2026,New York,NY,10013,(212) 920-4161,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"College Community Services, Inc.",P.O. Box 100163,Brooklyn,NY,11210,(718) 951-4600 x20,"Multi-Discipline, Performing",Brooklyn Council District #45,Brooklyn Community Board #14,Brooklyn
Colonial Dames of America/Mount Vernon Hotel Museum & Garden,421 East 61st Street,New York,NY,10065,(212) 838-6878 x28,Museum,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Colonial Farmhouse Restoration Society of Bellerose, Inc.",73-50 Little Neck Parkway,Floral Park,NY,11004,(718) 347-3276 x13,Museum,Queens Council District #23,Queens Community Board #13,Queens
"Colt Coeur Theater Company, Inc.",138 South Oxford Street,Brooklyn,NY,11217,(646) 489-7380,Theater,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
